sentence_id	sentence	sentence_domain	source	is_used	clips_count
017552c0e5fbda2389671764e2a7fa12acd1bd0587574fb6493453609887e99c	Lagipula, itu masuk akal.		http://tatoeba.org	1	0
022b86387c58dae5c1c83583cd4f6859c251b637b98f1869dc0a63662507e311	perkara perkelahian itu sudah ada yang mengurus		example sentences from dictionaries	1	0
022c5ecd7aa9579cfec5dec29fb61bc14cc1fcde5743348403f619dbbf17229d	Ayo lari.		http://tatoeba.org	1	0
02525391aee288696c3066d5c52482e049fe525abe3243429624796d7205e6e4	Ambil barang-barangmu.		http://tatoeba.org	1	0
027734ac523110757ced08e69974c88082395b07737ba1c7a251b2aecac54a8b	buku-buku ini dicetak di percetakan yang ada di kawasan industri		example sentences from dictionaries	1	0
029d3b80e82a595d51e467282b7246dd49ff53661a62b85fc21c5c003edddb55	Kamu adalah pelakunya.		http://tatoeba.org	1	0
034bd6ecbcec40c986a63a2f61ae57734552dd0e8685bc5600db464a1869bd05	Dia benci laba-laba.		http://tatoeba.org	1	0
038ea18f9c25d1e30f671e4139d7b3f565b15fa3a1d06ce570161c2303f48d78	Dia adalah gembala saya.		original work	1	0
03a44afb3cc02046b5a1bba94b9d728f5cd469222d47ddf474fe7be0584ba22b	Tolong ambilkan aku anggurnya.		http://tatoeba.org	1	0
03fb412ededb56152219cf3a59b36f9fa98297e0fed449cc7dd9f22dd8b4d184	Saya ingin jus jeruk.		http://tatoeba.org	1	0
041ec5989111d69f2e3d69ccbada123b085fef38761872b43510f2863158c312	Aku pikir aku tidak akan pernah bertemu Tom lagi.		http://tatoeba.org	1	0
043aa5efcb4bc520c613ce8f7b4d8658b555c8a2cc8549da79c5427e72acc3cb	Tom sepertinya agak kebingungan.		http://tatoeba.org	1	0
045dff1df7f79494ff219b0af9b677efc238040ed8e1d9cdf0f0b408aa97b0ec	Dia takut adiknya akan gagal.		http://tatoeba.org	1	0
04885d8c4ec93fb910b6efc2dd02b836a149aac8aa6b10d65b2dfc9ea193db13	jangan bersandar di depan pintu		Self Citation	1	0
04ad55617038d14786a954eff6e801e4a5fc9a1c6cef977fc5aeab3cf31728f7	Tom tinggal di seberang sungai.		http://tatoeba.org	1	0
04bfe28c7d8396cb88f432a953028e9e778171f8896b023ffde7a50aa99afe48	Jalan diasak orang menggalas		Peribahasa Indonesia (Common Indonesian sayings/proverbs)	1	0
04cabe70ffeb445f6b0a5d31e7b75e8bbcbde154601982e63b4bce09aa0b9683	Dia punya nyali untuk menolak tawaran itu.		http://tatoeba.org	1	0
04d265ad1d62a4575a6054c8369b1e9e376806d9b86c7b23f68035dac16bf066	terserah pada timbanganmu sendiri		example sentences from dictionaries	1	0
04d3f24d8c087ecd6d8ab9fe0992add49081297094281b1024eadfcdfa5767af	Maukah Anda bergabung dengan saya?		http://tatoeba.org	1	0
04f7968ee2a0e86b691eb727c2fbaf341b74c30ae9e7590dcbaa44d50385e3c1	Tom, taruh mangkuk itu di dalam microwave.		http://tatoeba.org	1	0
05e475d54ed2f99961c91eca579748005693f99a99a7f822ae18f0e345050a81	bibit penyakit cacar		example sentences from dictionaries	1	0
061d9cc9dd71bce0adedc18edd05f8a1c624341f7c081eb5ef01847d3b893d76	Udin dikerahkan untuk menempuh kubu-kubu pertahanan musuh		example sentences from dictionaries	1	0
064e476748fb4bb749eb845c5a4fcd22b1a98942538c33313cc7585fcf1f2de1	Mereka memanggilku Bob.		http://tatoeba.org	1	0
06972d6248696ebf798dab9262ee94d39c55ce285f22cc92e493aa269dc735fe	Konsep itu tidak masuk akal.		http://tatoeba.org	1	0
06de10f76e65611f7e08d81fe2ae1522970560b51be517774cfd3033523e250f	Terima kasih sudah menjelaksan kepada saya		http://tatoeba.org	1	0
0722e2a7a4c051031e51516ee6f7b27ccdba115416829c26f947f7aaaced1003	Dia punya bayi yang sehat.		http://tatoeba.org	1	0
0736b2ef8072cb8c53d89b0efd80a7a680ddc7171a19e7d25d5b772ddc225b25	Aku tidak tahu tepatnya.		http://tatoeba.org	1	0
07800fd661ed488cf342ee58203e1882fd361692494b326e817e0ebc048d3a52	Belum beranak sudah ditimang		Peribahasa Indonesia (Common Indonesian sayings/proverbs)	1	0
078335f5f94675fe3de2433313b90debe20064d56e5ab1b484be239555620407	"""Silakan naik !"", dengan ramah sopir mempersilakan penumpangnya"""		example sentences from dictionaries	1	0
07ab506ead8b9f3d9d761797cb006e47ccf2c18caf2cdcdf43d765db6b4b3689	"""Di sebelah kiri atas tertulis ""Dijual""."""		http://tatoeba.org	1	0
07bf2e23950fe18ccf22c2b38e6825e373c07d19c2e2be07336474cf9b023874	Piza adalah makanan kesukaanku.		http://tatoeba.org	1	0
07d2273282eba19b840d76492fbad94f6acb9aae4778d6da808dc3d3c7f448a4	Hidup ini indah atau tidak?		http://tatoeba.org	1	0
07d29cc81d827c522608f673a22f293852b98ba34123550af744b09a0f8c5f77	Kenapa Taro bisa berbicara bahasa Inggris sebaik itu?		http://tatoeba.org	1	0
07f95f6b0bcd9002a746336483d631d6e84c392386c8bd37b0c7f0b7cbbad811	air yang menggenang dapat menjadi sarang nyamuk		example sentences from dictionaries	1	0
07f975261c5dcc80ac273a3600d683f2e4e4e8f2aa74a90576c80dc9161079d6	Mary pindah rumah untuk tinggal bersama orang tuanya.		http://tatoeba.org	1	0
0822cf6cde59fd3ae661f8f044003527c40b05c3578013bc5c53afba07a04fcb	biji enam untuk bahasa Indonesia		example sentences from dictionaries	1	0
08497edf8b84465749e2d4b7f5f00b5db5680122ca739bb340dfc8798505cd1d	Dia memiliki anggur.		http://tatoeba.org	1	0
