client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_25378794.mp3	9c086b486ac5ef8454a66954643a3e561bda8b8f0c20f4fc0abf144b43c336b3	udah keluar hasil testnya?		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_25378817.mp3	c0ec2c84856002779f782fe70fd2f8b8a1e377f1cc4b06540aec9109572d5b08	Dimanakah sate paling enak di Jakarta Selatan?		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_25436710.mp3	980ccaa9e30b7dd833468cabac30bf6dd0f4183588484d9e4ba46089775082ac	coba terus sampai berhasil		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_25448230.mp3	410c4642dc7491b255bdb5d32f97367209a0aa39b9564ce689f73a1730ca86aa	saya ingin mengerjakan pekerjaan kantor di kafe terdekat		3	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_25449451.mp3	22379fb2933dba1bb0744d29ee8150c8e78ba4745c771cdac5ad75b7556c9625	Kapan saya harus melapor pajak?		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208370.mp3	0346dd0471bd6ebb3f7f0312dcc5ab0774ae12539eae26bff2d14bd490759a91	Biro terdiri dari Ketua Komite, dua Wakil Ketua dan Pelapor.		2	1					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208371.mp3	0350b2f8d286ac220788e03a5db3cdd69ed0a97f177bad30e8aeb240fe186e79	Seorang anak laki-laki berkulit hitam mengenakan celana jins biru dan baju berwarna terang sedang menatap tangannya.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208372.mp3	03a8a8a78fe2b898879e2284b7ef2f0780079cd184102625af87ef427d8f9c55	Dia mengakhiri musim bermain untuk Wellington di liga Birmingham.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208373.mp3	02bccf3d849aa458128ca2ac152161f2ebf4e8800ea741abea5cfa46069221f5	Setiap dewan memiliki ketua, yang dipilih oleh dewan.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208374.mp3	0385865760fb2da829b7700725a59cabc164b113622b6fb7473ecbb8864f7ff3	Ia tidak pernah mencapai kesuksesan yang didapatkannya dalam film bisu.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208376.mp3	037093af5e69d4610e4b0b03d88ad1f75ac571fc49620fc3de6ca9e248d41b9e	Orang bilang aku adalah pendengar yang baik.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208377.mp3	03bc7b20f42b4acaac17be422f7d765f7aa73deed9aa4570cda69258206b6aac	Kami mungkin melakukan hal seperti itu di album berikutnya.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208378.mp3	03b6d0d25745f697586fb46f586c1a40b2fd5c424894271d143cbc5f83aab7cd	Beberapa model program yang bersamaan termasuk proses ulang dan kebersamaan yang menentukan.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208379.mp3	037dbe41932df8476d6898152835201fcb4bb1adafd4057d6da69093b874966a	Itu diberi status bahasa nasional menurut konstitusi.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208380.mp3	03a59245841a08c373c2c8af9734fbfafe4cfcf3c589f6ba7481b7c413ec0741	Kriteria konvergensi digunakan untuk menentukan kapan perulangan berhenti.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208399.mp3	038c04926d1b5e485450d3002399184c06020c9115e97bdbd145bd2220f35c9f	Afeni Shakur membentuk label rekaman yang diberi nama Amaru Records untuk merilis lagu rekaman Tupac yang belum dirilis.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208400.mp3	025503fa37a4f183ddea382526a5c37a7078fbdcc56162a75c7d13242007fc7e	Semakin tinggi peringkat mereka untuk putaran tersebut, semakin banyak uang yang akan mereka menangkan.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208403.mp3	01ed8e92320b27610a2149f22a4de1b4a2765db50712ed9e8fec4148afaa9953	Burung berfungsi sebagai tuan rumah alami.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208404.mp3	03c83785a8d131835c8d44dd2272a2a966b45abc03b2296c3f4048c22a2b8f8f	Warna kulit telah dan terus mempengaruhi daya tarik dan status serta kemampuan sosial ekonomi.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208449.mp3	03a9a80ec2717f695c015bda0bd1469e1ec96db86cd15458d3ad34e6510c2fd2	Wayne College menawarkan kelas siang dan malam, plus bagian khusus untuk Weekend College.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208450.mp3	03a8eaa1ff335354985db4e1970e21b56c1a6eef5267d85f717f8c4b13ae880a	Sungainya kemudian berbelok ke barat daya dan memasuki kota madya Ashfield-Colborne-Wawanosh.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208451.mp3	034bd050dbfdbd506fa85bec4b5542e789f5fb47ac06fa527c78dbe15a35dcd6	Itu sering dipasangkan dengan dan diikuti oleh jig atau gigue.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208452.mp3	01f3454db0acc4c392a8c6eb3b299472d456fae7d09e39d9aff6c79980642a43	Robinson memetakan dan mencatat desa dengan nama "Furnaceville" untuk Tuan Otis.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208453.mp3	03a610ba7aec81be0beb0c49c5b06ce0da6327f706500f5ce249b3d0f3395c08	Seorang pria di atas papan luncur melakukan trik di tempat landai.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208470.mp3	03b1740f6654de4c58d1d18856237395fee60861d2d9e9dbd46fc8c0abd91b71	Tiga hari kemudian, dia dibebaskan oleh the Clippers.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208471.mp3	03b08f9da58d24206799f12b1558c64ba981e54c21eb04ed2dd2470d33159c97	Kerja bagus, Gussie.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208472.mp3	03b42e2a5f99c32169ba5b415bbd8ae68a6f32b5204b8927a172c74400fb5590	Kapitalis Michigan menginginkan Port Lawrence di wilayah “mereka”.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208473.mp3	03c9f9785ee74fd605edd1e240746e203bb7cb073ba0a8ed2f81fb7fcfa9ebb5	Ini bagian utara Denton.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208526.mp3	0386887ea0293262f650ea0ce21293f941992f58670cd5e439fa23e165cbfa89	Kamu tak perlu lagi bersusah hati.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208527.mp3	037dac8ed64999b067abbff91bbba80232b8fe8b51728411ff7bb1770fe38a3f	Seorang gadis berdiri di lapangan terbuka dengan memegang bola besar.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208528.mp3	03ca4b7402c24ed7045866cd93c1dacfb1052d3391a068d9acac39cbc7d72c1d	Nama baru stasiun tersebut adalah Mix Megapol Radio City.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208529.mp3	03bb26f188971b7cb23eadc49073788a43f5b24a0be3a525b37eba8df068d9ac	Beberapa dari mereka adalah "Dirty Dancing", "Basic Instinct", dan "Total Recall".		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208530.mp3	03b312f02a602a8046de7a5c74ecfb5d10e04f42cdce56ca8f8db783aa5aea58	Ia benar-benar marah pada pria itu.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208580.mp3	038b86365619f661d255d8596c818fbb5ab196fbef54ee7f6c71db2d7ce3c38f	Seorang pria yang berpendidikan, dia adalah dekan sekolah misionaris.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208581.mp3	0383fa92df5e778722334336bb10ac3aac8e3cdcbd5f9b0842e026b68d4434b0	Sangat sulit untuk dijelaskan.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208582.mp3	03030026ffa3d7aa6f4005751c61467c65c4bbcfd8ab03e8bc7edc50187d562d	Dengan cara ini, keluarga dapat menjalankan kebiasaan mereka tanpa memasuki kamar jenazah.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208583.mp3	03c8f428abfca77f393658715a86790a34ca0251e1ed9de7342e1c859111e388	Anda dan sayalah yang menjalankan Senat.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208584.mp3	01fb4f888adbe167066d95cf2355f4ad8b3f2fec83564d9b091a546e56c40202	"Program Prestasi Akademik" menyediakan alat tambahan kepada siswa yang berpartisipasi untuk berhasil di sekolah hukum.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208598.mp3	03b7ce4d3d7865fbe4b35c89a7e01a41bdb54b461ce99e25c03046d3b70d34f9	Warga daerah secara aktif berpartisipasi dalam Pemberontakan November dan Pemberontakan Januari.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208599.mp3	034a9c2f1f8501f3601b99c2775912c7acd8227d05dfde6aaed367810d687569	Esker dapat dideskripsikan sebagai gelombang berkelok panjang yang terdiri atas dari pasir dan kerikil.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208600.mp3	0397b007b07b0aea186d65e4fd60761d0488cc3cdb8bd2247326cdbb018c2dae	Anak laki-laki berkaus merah memegang kamera.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208602.mp3	02ebe4c7b5fb92f2c62a658af226cbb0d29f8cab815e24cc9e6b9e489cfd502a	Ekonomi kesehatan mental menghadirkan serangkaian tantangan unik bagi para peneliti.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208603.mp3	035c6689ea0ac195362edf47b9cd897196d493cd53270861c0aabd8e97c0a807	"Club" dan "Time Out" New York.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208618.mp3	0158eccfc19d678e9acea4e4783192f430c12f7a5f6fc31be7a09426e84f8e93	Setelah dinasnya di Senat, Bowring terus bertani di dekat Merriman.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208620.mp3	0322cd7ba650269175d004fa10aefb65d9f8a3e740b555e9d9f8cbc9dde656fe	Kereta beroperasi dari Bandara Manchester dan Preston ke Glasgow Central dan Edinburgh Waverley.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208622.mp3	0312bacbec5d75f2185c320889f652f615dbd9cf724c94ffb3e0915b8a61fec1	Johnson mendirikan firma kebijakan publik dan komunikasi publik, Janis Johnson and Associates, di Winnipeg.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208626.mp3	02e31f2080eb08c3d12ccc20af898c49a2b214f349dd266655138bbdb7c93c2d	Juara kedua menerima hadiah uang tunai sebesar separuh dari jumlah hadiah pertama.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208658.mp3	031a468b6c599731c415daa53f3439351e79e1187cf054ecbf20fda95497c362	Seorang pria dengan topi konstruksi terpasang sabuk pengaman.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26208659.mp3	03a5695c2b58a6d937412ec2f5a225c8c649c389180a469277d2923d3e0e97b7	Grup tersebut berfungsi sebagai unit cadangan selama dua tahun kemudian dalam satu dekade.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26212975.mp3	03b5e082ed2dd89d148836ce97db0fe19c2567e6f6f12211c9a8e5523a89beaf	Dalam "Young Hercules", dia perankan oleh Dean O'Gorman.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26212977.mp3	02e38d47cf10fd2d29eb19f9e36c2a5476826f823ab45827133bd30fc3100dde	Ku harap mereka menghentikan latihan mereka itu.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26212978.mp3	031060308149fca49d748953fa6dfd4f4b354a150e20f7984dbec6187c222a71	Hidup secara universal dihormati, dan mati diratapi.		2	0					id	
6ac0427a8caef565e3a800e844451a5dde7df70a144fae2139ae8fdd7a2fd1e0c8c904646ab81ca8f7332a35df9090c21ca03326225a87341808142b9ec1ad59	common_voice_id_26212979.mp3	0398cee7f852f850f0dcc5f7ac6e9fe16e09bccfcf69686543c0efa35d33787d	Wanita di ruang remang-remang memegang anak panah.		2	0					id	
